Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,2,3,UX/UI Design,111392.16524315962,1,1
Marketing Specialist,Technology,Large,Singapore,2,3,Marketing,93792.56246610906,0,-1
AI Researcher,Technology,Large,Singapore,2,3,UX/UI Design,107170.26306894996,1,1
Sales Manager,Retail,Small,Berlin,1,3,Project Management,93027.95375786416,0,1
Cybersecurity Analyst,Entertainment,Small,Tokyo,1,1,JavaScript,87752.92217059238,1,-1
UX Designer,Education,Large,San Francisco,2,2,Cybersecurity,102825.0078665678,0,1
HR Manager,Finance,Medium,Singapore,1,3,Sales,102065.72067347592,1,1
Cybersecurity Analyst,Technology,Small,Dubai,2,1,Machine Learning,86607.3176180969,1,-1
AI Researcher,Retail,Large,London,3,1,JavaScript,75015.86084571481,0,0
Sales Manager,Entertainment,Medium,Singapore,3,1,Cybersecurity,96834.57829480869,1,-1
Marketing Specialist,Finance,Small,London,3,3,Python,91566.97337925188,1,1
AI Researcher,Entertainment,Medium,Singapore,2,3,UX/UI Design,78902.56574458485,0,1
AI Researcher,Transportation,Large,San Francisco,3,2,Python,73151.99034926406,1,1
HR Manager,Retail,Small,Paris,1,3,Cybersecurity,98209.51687788912,1,-1
Product Manager,Finance,Medium,Singapore,3,3,JavaScript,101001.90114055388,1,1
Sales Manager,Telecommunications,Small,Dubai,3,1,UX/UI Design,82799.35770690278,0,1
Software Engineer,Manufacturing,Medium,Singapore,3,2,Machine Learning,78401.25928174148,0,-1
AI Researcher,Manufacturing,Large,Tokyo,1,3,Project Management,73394.89621925619,0,0
Product Manager,Finance,Large,San Francisco,2,3,UX/UI Design,97645.09878289838,1,0
Software Engineer,Entertainment,Small,Dubai,1,1,UX/UI Design,73920.45852718527,1,1
Sales Manager,Retail,Medium,Sydney,2,1,JavaScript,134822.69138041462,1,-1
Data Scientist,Manufacturing,Small,Dubai,2,3,JavaScript,81794.37128058006,1,1
UX Designer,Retail,Small,Tokyo,3,2,Cybersecurity,41495.71444254798,0,-1
Product Manager,Manufacturing,Medium,Paris,2,2,Data Analysis,89396.5666674173,1,-1
Operations Manager,Transportation,Medium,San Francisco,1,1,UX/UI Design,88539.33040362394,1,0
Data Scientist,Entertainment,Medium,Sydney,1,1,Sales,112234.37135048377,1,0
UX Designer,Transportation,Large,Tokyo,2,3,UX/UI Design,95762.52473455408,0,-1
HR Manager,Manufacturing,Small,Tokyo,3,1,Cybersecurity,73323.29633120395,1,1
Cybersecurity Analyst,Telecommunications,Small,New York,3,3,Marketing,84272.16253006447,1,0
Marketing Specialist,Telecommunications,Large,San Francisco,1,2,Python,96548.39543301976,1,1
Operations Manager,Transportation,Medium,Dubai,3,2,Project Management,46705.714993791786,1,0
HR Manager,Telecommunications,Large,London,2,3,Data Analysis,116772.434687809,1,0
Sales Manager,Manufacturing,Large,Paris,2,1,Machine Learning,73376.6022839067,0,1
HR Manager,Finance,Large,London,1,2,Machine Learning,118340.87641895234,1,0
Cybersecurity Analyst,Transportation,Small,Dubai,2,1,Machine Learning,97849.30282253175,1,0
Sales Manager,Healthcare,Large,Dubai,1,2,JavaScript,102591.88272787948,1,1
Operations Manager,Entertainment,Small,San Francisco,2,3,Machine Learning,112988.46872002544,1,0
Cybersecurity Analyst,Telecommunications,Small,Dubai,1,3,Project Management,101462.64105384996,1,0
Software Engineer,Telecommunications,Small,New York,3,3,Python,103457.72432634902,1,0
Marketing Specialist,Technology,Medium,Sydney,2,2,Machine Learning,86711.67119077238,1,1
Operations Manager,Education,Small,Dubai,2,1,UX/UI Design,97443.3736294419,1,-1
Software Engineer,Transportation,Small,London,1,1,UX/UI Design,78250.04370056515,1,1
UX Designer,Energy,Medium,Dubai,1,1,JavaScript,83131.77800824065,1,-1
Operations Manager,Telecommunications,Small,New York,2,2,Project Management,129293.90095937817,0,0
UX Designer,Entertainment,Large,Singapore,1,2,Python,73836.12829899156,0,-1
Sales Manager,Healthcare,Large,Singapore,2,2,Data Analysis,93086.3425327256,0,1
Software Engineer,Telecommunications,Small,Tokyo,3,2,Cybersecurity,92269.38073430952,0,1
Marketing Specialist,Healthcare,Medium,Paris,1,2,Python,83784.91056438402,1,0
Cybersecurity Analyst,Manufacturing,Large,Berlin,2,1,Cybersecurity,100288.01873140877,0,-1
AI Researcher,Manufacturing,Medium,Sydney,3,2,Marketing,101794.44185482766,0,0
HR Manager,Education,Medium,Toronto,3,2,Cybersecurity,71483.61633704841,1,0
Data Scientist,Finance,Large,Tokyo,2,1,Sales,92027.13423093104,0,1
Marketing Specialist,Energy,Medium,Paris,1,2,UX/UI Design,68352.65322455287,0,-1
Software Engineer,Technology,Large,Singapore,2,1,Project Management,105770.97236634602,1,-1
AI Researcher,Education,Medium,London,3,1,Communication,93529.74620725252,1,-1
Marketing Specialist,Retail,Large,Toronto,2,3,JavaScript,91646.59773434176,1,-1
Software Engineer,Technology,Small,Paris,1,3,Sales,103180.62697744806,0,0
Product Manager,Transportation,Large,Paris,3,3,Cybersecurity,84489.79419063198,0,0
Product Manager,Entertainment,Large,Tokyo,2,3,Machine Learning,108280.43918436408,1,1
UX Designer,Retail,Large,Toronto,1,2,Project Management,71031.10254487729,1,0
Marketing Specialist,Retail,Large,San Francisco,3,3,Sales,118237.53037789057,0,0
Product Manager,Education,Medium,Berlin,1,1,JavaScript,78981.77634890293,1,1
Software Engineer,Finance,Small,San Francisco,3,2,UX/UI Design,56076.41864608825,0,1
UX Designer,Education,Large,Toronto,2,3,Project Management,83429.30183074536,1,1
Software Engineer,Transportation,Medium,San Francisco,1,1,JavaScript,81160.63605491581,1,0
UX Designer,Telecommunications,Small,New York,3,2,Marketing,83278.52027699928,0,0
Marketing Specialist,Telecommunications,Small,Singapore,1,2,Marketing,94632.96030967963,1,1
AI Researcher,Finance,Small,New York,1,3,JavaScript,111956.84721776543,1,1
Cybersecurity Analyst,Transportation,Small,Dubai,2,2,Sales,86165.88172205727,1,1
Operations Manager,Finance,Large,San Francisco,1,1,Project Management,76167.64860362199,0,0
AI Researcher,Healthcare,Large,Dubai,3,2,Sales,67469.06375432406,1,0
Sales Manager,Telecommunications,Medium,London,3,1,Data Analysis,80636.34417381912,1,-1
Software Engineer,Retail,Medium,Sydney,3,2,Cybersecurity,52243.50321499295,1,0
Sales Manager,Energy,Medium,London,3,3,Data Analysis,75497.33812967277,1,0
AI Researcher,Entertainment,Small,Toronto,2,1,Marketing,114881.07791724372,1,0
UX Designer,Transportation,Small,Paris,1,2,UX/UI Design,73532.81590843154,1,1
Operations Manager,Technology,Large,Singapore,2,2,Python,102574.31721600612,0,0
Operations Manager,Finance,Small,San Francisco,1,2,Cybersecurity,65470.358203830205,0,1
Data Scientist,Entertainment,Small,Tokyo,1,1,Marketing,125421.91798621108,1,-1
Operations Manager,Technology,Small,Sydney,1,1,Sales,126752.1346612942,0,-1
Cybersecurity Analyst,Entertainment,Medium,Berlin,2,1,Sales,101820.43113119752,0,1
Operations Manager,Energy,Medium,Berlin,1,3,Sales,129825.05203287044,1,1
AI Researcher,Technology,Large,Berlin,2,3,UX/UI Design,97115.85949855324,0,1
Data Scientist,Education,Small,San Francisco,3,1,Data Analysis,105370.34228299111,0,0
AI Researcher,Manufacturing,Small,Berlin,3,2,Python,115238.6775346307,0,-1
AI Researcher,Education,Large,New York,1,3,Sales,93594.369061969,0,1
HR Manager,Telecommunications,Small,Sydney,2,1,Communication,58952.450768298775,0,0
Data Scientist,Manufacturing,Small,New York,3,2,Cybersecurity,105779.26710468795,0,-1
AI Researcher,Education,Medium,Paris,2,3,Project Management,80562.80811133073,0,0
HR Manager,Manufacturing,Large,Sydney,2,2,Communication,82049.4035808908,0,-1
HR Manager,Manufacturing,Large,New York,1,2,Python,95957.8983295738,1,0
Data Scientist,Retail,Large,Sydney,3,2,UX/UI Design,101325.6175943474,1,-1
Sales Manager,Finance,Large,Paris,1,2,Python,93002.69268012435,0,-1
UX Designer,Finance,Medium,Dubai,1,3,Project Management,102714.59072314618,0,0
Cybersecurity Analyst,Retail,Medium,San Francisco,3,3,Cybersecurity,75862.85731879607,1,1
UX Designer,Entertainment,Small,San Francisco,3,3,Project Management,89145.92410553433,0,-1
Operations Manager,Healthcare,Small,Berlin,2,1,JavaScript,106981.70900901742,0,1
Cybersecurity Analyst,Entertainment,Small,London,3,3,Cybersecurity,125455.82352873433,1,0
Operations Manager,Technology,Small,Berlin,2,2,Python,132528.71177946418,1,1
AI Researcher,Technology,Medium,Toronto,2,3,Sales,98659.53365455465,1,1
Software Engineer,Manufacturing,Large,New York,2,2,Python,106800.19653491216,0,1
Data Scientist,Education,Medium,Sydney,3,1,Python,129631.5832963038,0,1
Cybersecurity Analyst,Education,Small,London,1,2,Cybersecurity,76583.27926533011,1,1
Cybersecurity Analyst,Finance,Medium,Paris,2,2,JavaScript,102593.99705425168,1,-1
AI Researcher,Transportation,Large,Toronto,1,2,Python,105366.85898972292,0,-1
Sales Manager,Entertainment,Large,Paris,1,1,Communication,118957.22872153488,1,-1
HR Manager,Telecommunications,Medium,San Francisco,3,3,Marketing,67257.17238927555,0,0
AI Researcher,Energy,Medium,San Francisco,1,3,Machine Learning,71211.88432398967,0,1
Product Manager,Education,Medium,Berlin,1,1,Machine Learning,90427.64422209412,1,-1
HR Manager,Energy,Small,New York,3,2,Python,97554.55324643273,1,0
Data Scientist,Manufacturing,Medium,London,2,3,Communication,112457.27907467616,0,-1
HR Manager,Energy,Medium,Singapore,1,1,Sales,100350.87551624542,1,-1
Sales Manager,Telecommunications,Medium,Toronto,3,3,UX/UI Design,86971.73539779433,1,1
HR Manager,Retail,Large,Toronto,1,1,UX/UI Design,98329.2288951228,1,0
Data Scientist,Telecommunications,Large,Berlin,1,2,Cybersecurity,96020.88952548904,1,1
Sales Manager,Energy,Small,San Francisco,2,3,Machine Learning,124900.32859975575,0,1
UX Designer,Telecommunications,Small,Berlin,1,1,Python,93313.17887137063,0,-1
Cybersecurity Analyst,Healthcare,Large,Sydney,3,3,UX/UI Design,82338.33172894873,0,1
Cybersecurity Analyst,Manufacturing,Large,London,1,3,Python,98992.1806014366,0,0
Operations Manager,Entertainment,Large,New York,2,3,Cybersecurity,93969.70638677065,1,1
UX Designer,Retail,Medium,Dubai,2,3,Machine Learning,58580.13288650656,1,1
UX Designer,Education,Medium,Tokyo,3,1,Project Management,89686.95876755661,0,1
HR Manager,Technology,Large,Tokyo,2,2,Marketing,87985.23509187989,0,-1
Cybersecurity Analyst,Entertainment,Medium,Berlin,1,1,Marketing,79122.56268441367,1,0
Data Scientist,Technology,Medium,Sydney,2,1,UX/UI Design,110711.66575245943,0,-1
Marketing Specialist,Manufacturing,Small,London,3,1,Marketing,74286.40806776009,0,-1
Marketing Specialist,Retail,Large,Singapore,2,2,Project Management,99112.37239049075,1,-1
Sales Manager,Finance,Large,Tokyo,2,3,Python,87042.86000312539,0,-1
Cybersecurity Analyst,Education,Medium,London,2,3,Cybersecurity,92153.90011293563,1,-1
Cybersecurity Analyst,Healthcare,Large,New York,3,3,Project Management,98235.72582091736,1,0
Marketing Specialist,Finance,Small,Paris,2,2,Cybersecurity,63848.51232217997,0,1
Cybersecurity Analyst,Manufacturing,Small,Sydney,2,3,Cybersecurity,93833.21783469566,1,-1
HR Manager,Entertainment,Small,San Francisco,1,2,Machine Learning,135778.94979426413,0,-1
Product Manager,Healthcare,Large,London,3,3,Python,58864.73308242552,1,0
Software Engineer,Telecommunications,Large,New York,2,3,Communication,88847.84072568991,0,0
UX Designer,Energy,Large,Singapore,3,1,Marketing,112464.7864964764,0,1
Operations Manager,Healthcare,Large,Dubai,2,2,Communication,96032.38495907192,0,0
Sales Manager,Manufacturing,Large,San Francisco,2,1,Machine Learning,103759.33904232067,1,1
Product Manager,Transportation,Small,Dubai,2,1,Cybersecurity,42486.67977814768,1,-1
Marketing Specialist,Energy,Medium,Singapore,1,1,UX/UI Design,101964.987492599,0,-1
UX Designer,Technology,Small,New York,1,2,Marketing,74766.23587532803,1,1
Cybersecurity Analyst,Education,Large,Tokyo,1,2,Marketing,96197.54569166292,0,0
Operations Manager,Technology,Small,Dubai,3,3,Python,89411.30538181018,0,1
Cybersecurity Analyst,Healthcare,Large,San Francisco,3,1,JavaScript,135566.66058323265,1,0
Data Scientist,Technology,Large,Berlin,1,3,Data Analysis,100933.9064753175,0,-1
Data Scientist,Manufacturing,Small,Toronto,3,1,Data Analysis,87747.52341474428,1,0
Operations Manager,Telecommunications,Large,London,2,2,Data Analysis,59806.144814928906,0,1
Operations Manager,Entertainment,Medium,Tokyo,2,2,JavaScript,92422.93803699792,1,1
Marketing Specialist,Education,Large,Dubai,2,2,Python,106464.57756693644,0,-1
Operations Manager,Technology,Medium,Paris,1,1,JavaScript,88388.96216361554,0,0
HR Manager,Technology,Medium,London,3,2,Data Analysis,79886.87280125119,1,0
Cybersecurity Analyst,Healthcare,Large,Berlin,1,1,Machine Learning,78548.26672307363,0,0
Product Manager,Entertainment,Small,Singapore,3,3,Project Management,100702.8287091064,0,-1
AI Researcher,Finance,Medium,Toronto,2,1,Cybersecurity,105187.75878618314,1,0
Operations Manager,Technology,Small,New York,1,3,JavaScript,117224.20230642238,0,1
